Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James,jamesle01,2004,2020,TOT,NBA,38.4,1258,1257,48329,13.3,26.5,11.3,20.7,2.0,5.8,7.9,10.8,1.6,8.4,10.0,10.0,2.2,1.0,4.7,2.5,36.6,.504,.549,.344,.542,.735,.586
2,Kevin Durant,duranke01,2008,2019,TOT,NBA,36.9,849,849,31305,12.5,25.4,10.0,18.8,2.5,6.6,9.2,10.4,1.0,8.6,9.6,5.6,1.5,1.5,4.3,2.6,36.8,.493,.532,.381,.542,.883,.613
3,Damian Lillard,lillada01,2013,2020,POR,NBA,36.3,607,607,22047,10.9,25.0,7.0,14.4,3.9,10.6,7.3,8.3,0.9,4.9,5.8,8.9,1.3,0.4,3.8,2.8,33.1,.436,.484,.371,.515,.889,.578
4,John Wall,walljo01,2011,2019,WAS,NBA,35.9,573,561,20545,9.7,22.4,8.4,18.3,1.3,4.1,6.0,7.7,0.8,5.3,6.1,13.0,2.4,1.0,5.4,3.2,26.7,.433,.457,.324,.462,.781,.519
5,Andrew Wiggins,wiggian01,2015,2020,TOT,NBA,35.8,454,454,16242,10.1,22.9,8.4,17.9,1.6,5.0,5.5,7.5,1.7,4.3,6.0,3.3,1.4,0.8,2.9,3.0,27.3,.441,.471,.332,.477,.732,.522
6,Carmelo Anthony,anthoca01,2004,2020,TOT,NBA,35.7,1114,1106,39752,12.0,26.9,10.2,21.6,1.8,5.3,7.7,9.5,2.4,6.9,9.3,4.1,1.4,0.7,3.7,4.1,33.6,.448,.472,.348,.482,.812,.541
7,Chris Paul,paulch01,2006,2020,TOT,NBA,34.9,1013,1013,35353,9.6,20.4,7.6,15.0,2.0,5.4,6.2,7.1,1.0,5.7,6.7,14.1,3.3,0.2,3.6,3.6,27.5,.470,.507,.370,.520,.870,.582
8,Blake Griffin,griffbl01,2011,2020,TOT,NBA,34.8,622,622,21671,11.8,23.8,10.9,20.9,1.0,2.9,7.0,10.0,3.2,9.8,12.9,6.4,1.3,0.8,3.8,4.2,31.6,.498,.521,.333,.518,.694,.561
9,Bradley Beal,bealbr01,2013,2020,WAS,NBA,34.6,545,511,18832,10.9,24.2,7.7,15.6,3.3,8.6,4.9,6.1,1.2,4.5,5.7,5.7,1.6,0.6,3.3,3.1,30.0,.452,.492,.380,.520,.807,.559
10,Russell Westbrook,westbru01,2009,2020,TOT,NBA,34.6,874,857,30235,11.9,27.2,10.3,21.9,1.6,5.3,8.2,10.2,2.4,7.8,10.2,12.0,2.5,0.4,5.9,3.7,33.6,.437,.469,.304,.467,.800,.530
11,Anthony Davis,davisan02,2013,2020,TOT,NBA,34.5,521,516,17997,12.9,25.0,12.2,22.8,0.7,2.1,8.2,10.2,3.7,11.3,15.0,3.2,2.0,3.5,2.8,3.4,34.6,.517,.535,.319,.530,.801,.588
