PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Domantas Sabonis,IND,24,62,37,25,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55.0,58.6,22.9,99.02,15.6
Rudy Gobert,UTA,27,62,40,22,34.6,113.0,106.8,6.1,6.5,0.78,10.5,10.4,27.9,19.7,13.6,69.8,70.0,16.1,99.22,15.1
Bam Adebayo,MIA,22,65,41,24,34.4,112.3,107.7,4.6,23.2,1.80,24.0,7.8,22.4,15.4,13.3,56.8,60.6,20.8,98.22,14.9
Anthony Davis,LAL,27,55,43,12,34.3,112.3,105.6,6.7,14.8,1.27,11.6,6.4,19.7,13.1,9.1,54.4,61.4,28.7,102.61,18.3
Karl-Anthony Towns,MIN,24,35,10,25,33.9,113.9,115.4,-1.5,21.0,1.39,15.7,7.5,24.0,15.5,11.3,60.0,64.2,27.8,104.69,16.8
Deandre Ayton,PHX,21,30,12,18,33.2,110.5,108.4,2.2,9.3,0.80,9.1,12.4,22.9,17.7,11.3,54.8,57.1,23.7,102.26,14.1
LaMarcus Aldridge,SAS,34,53,23,30,33.1,110.2,113.4,-3.2,11.7,1.74,12.0,5.8,16.2,11.0,6.9,53.2,57.1,23.6,99.82,12.0
Andre Drummond,CLE,26,57,21,36,33.0,107.0,112.0,-5.0,13.3,0.75,12.0,12.9,33.6,22.9,16.0,53.6,55.3,25.3,98.80,15.3
Clint Capela,ATL,26,39,22,17,32.8,110.0,107.4,2.5,5.6,0.76,8.8,11.8,26.5,19.1,11.6,62.9,62.6,15.6,104.64,14.3
Nikola Vucevic,ORL,29,54,25,29,32.6,109.4,109.8,-0.4,18.6,2.62,16.1,7.1,27.0,16.7,6.2,51.5,54.0,25.6,99.73,14.9
Julius Randle,NYK,25,64,21,43,32.5,105.7,111.6,-5.9,15.8,1.03,12.8,6.7,22.3,14.2,12.4,49.2,53.8,27.1,99.72,13.1
Nikola Jokic,DEN,25,65,43,22,32.3,112.9,107.7,5.2,34.3,2.21,25.7,7.5,24.4,16.0,11.6,56.5,60.4,26.7,96.88,18.2
Kevin Love,CLE,31,56,16,40,31.8,107.4,115.4,-8.0,15.0,1.27,15.8,3.0,28.6,15.5,12.4,55.0,59.9,22.5,100.17,14.0
Hassan Whiteside,POR,30,61,29,32,31.3,114.5,112.2,2.3,5.8,0.63,7.7,12.3,29.6,21.2,12.2,62.1,64.1,19.5,101.03,16.0
Kristaps Porzingis,DAL,24,51,30,21,31.3,115.7,107.1,8.6,8.6,1.06,8.3,5.3,22.2,14.0,7.8,49.8,54.0,25.8,101.32,12.4
Al Horford,PHI,33,60,35,25,30.8,109.5,106.0,3.5,18.5,3.75,24.5,5.0,17.0,11.0,6.5,51.0,52.6,17.4,100.26,11.1
Tristan Thompson,CLE,29,57,19,38,30.2,105.0,115.2,-10.1,10.6,1.17,14.0,12.6,20.7,16.5,12.0,52.0,54.0,18.1,99.12,10.8
Joel Embiid,PHI,26,44,28,16,30.2,106.2,101.4,4.8,18.5,1.01,12.0,8.9,27.8,18.6,11.8,51.4,59.3,31.3,101.91,19.7
Lauri Markkanen,CHI,23,50,18,32,29.8,105.3,107.3,-2.0,7.7,0.91,9.1,3.8,17.4,10.4,10.0,51.7,56.0,20.9,101.72,10.3
Myles Turner,IND,24,55,32,23,29.6,107.1,106.2,0.9,5.4,0.90,8.6,4.3,17.1,10.8,9.6,52.5,56.1,17.4,98.41,9.6
Wendell Carter Jr.,CHI,21,43,15,28,29.2,104.8,105.3,-0.5,6.2,0.71,9.5,10.2,21.6,15.6,13.4,54.2,59.0,16.2,100.79,10.3
Zach Collins,POR,22,3,2,1,28.8,116.3,103.2,13.1,8.3,1.00,17.6,5.6,8.2,7.1,17.6,55.3,62.4,13.9,103.61,5.1
Jaren Jackson Jr.,MEM,20,54,28,26,28.0,108.4,111.5,-3.1,7.6,0.81,8.0,3.4,12.4,7.9,9.9,56.4,59.0,23.7,104.34,8.8
Montrezl Harrell,LAC,26,63,44,19,27.8,112.3,105.8,6.5,10.2,0.99,9.2,8.9,14.1,11.6,9.3,58.0,60.7,24.5,104.73,14.5
Marc Gasol,TOR,35,36,28,8,27.5,110.6,100.2,10.4,16.6,2.88,29.7,2.9,18.0,10.9,10.3,52.8,54.6,12.7,101.81,9.2
Steven Adams,OKC,26,58,37,21,27.0,111.5,107.1,4.4,13.2,1.64,18.8,13.0,21.1,17.2,11.5,59.3,60.5,16.6,100.65,13.7
Brook Lopez,MIL,32,61,50,11,26.6,111.9,99.5,12.4,7.6,1.51,12.1,2.5,11.9,7.5,8.1,50.1,53.7,17.3,106.70,8.2
Dwight Powell,DAL,28,40,25,15,26.5,116.3,107.4,8.9,7.6,1.64,15.8,7.1,13.2,10.2,9.7,65.9,67.7,12.6,99.41,9.4
Jonas Valanciunas,MEM,28,62,30,32,26.3,107.8,107.4,0.4,10.2,1.02,11.5,11.1,27.7,19.7,11.3,60.8,63.1,21.0,103.39,16.2
Larry Nance Jr.,CLE,27,56,16,40,26.3,105.6,110.7,-5.1,12.6,2.05,19.0,6.8,20.9,13.6,9.2,59.6,60.8,15.0,99.92,12.5
Jarrett Allen,BKN,22,64,30,34,25.7,109.4,108.9,0.5,7.5,1.18,12.6,10.9,22.8,16.8,10.7,64.6,65.8,14.8,101.55,13.8
