Rk,Player,From,To,Tm,Lg,MPG,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,LeBron James,2004,2020,TOT,NBA,38.4,1258,1257,48329,27.5,.219,.407,3.7,18.5,11.2,36.4,2.2,1.6,13.1,31.5,116,104,165.7,70.4,236.1,.235,7.1,1.8,8.9,133.2
2,Kevin Durant,2008,2019,TOT,NBA,36.9,849,849,31305,25.2,.260,.410,2.3,18.5,10.7,19.6,1.5,2.3,12.4,30.1,117,105,101.0,40.8,141.7,.217,6.0,0.7,6.7,69.0
3,Damian Lillard,2013,2020,POR,NBA,36.3,607,607,22047,21.9,.423,.330,1.9,10.6,6.3,29.9,1.3,0.7,11.8,28.4,117,111,65.2,14.6,79.9,.174,5.3,-0.7,4.6,36.9
4,John Wall,2011,2019,WAS,NBA,35.9,573,561,20545,19.4,.183,.345,1.8,11.9,6.8,42.4,2.4,1.6,17.3,27.4,104,106,21.5,22.8,44.3,.104,2.5,0.1,2.6,23.6
5,Andrew Wiggins,2015,2020,TOT,NBA,35.8,454,454,16242,14.7,.217,.327,3.9,9.9,6.9,10.8,1.4,1.4,10.0,25.6,104,114,9.5,5.4,15.0,.044,0.0,-2.0,-1.9,0.2
6,Carmelo Anthony,2004,2020,TOT,NBA,35.7,1114,1106,39752,19.9,.196,.353,5.4,15.3,10.3,15.1,1.4,1.1,10.7,30.4,108,108,66.6,35.4,102.0,.123,2.8,-1.2,1.6,35.7
7,Chris Paul,2006,2020,TOT,NBA,34.9,1013,1013,35353,25.1,.266,.349,2.2,12.7,7.5,45.6,3.3,0.3,13.2,23.9,123,105,132.2,47.3,179.5,.244,5.3,2.2,7.6,85.6
8,Blake Griffin,2011,2020,TOT,NBA,34.8,622,622,21671,22.0,.121,.423,7.2,21.7,14.5,22.4,1.3,1.2,11.9,28.1,112,106,49.9,25.3,75.2,.167,3.6,0.2,3.8,31.9
9,Bradley Beal,2013,2020,WAS,NBA,34.6,545,511,18832,17.8,.355,.251,2.6,10.3,6.4,19.2,1.6,1.0,10.8,26.6,109,110,27.1,14.4,41.5,.106,2.4,-0.8,1.6,17.0
10,Russell Westbrook,2009,2020,TOT,NBA,34.6,874,857,30235,23.5,.194,.376,5.5,17.0,11.3,42.3,2.5,0.7,15.7,32.7,109,105,60.5,40.7,101.3,.161,4.2,0.6,4.8,52.1
11,Anthony Davis,2013,2020,TOT,NBA,34.5,521,516,17997,27.5,.085,.409,8.2,25.0,16.6,11.2,2.0,5.7,8.6,28.5,117,103,52.6,29.7,82.3,.219,4.8,1.5,6.3,37.7
12,LaMarcus Aldridge,2007,2020,TOT,NBA,34.4,1003,962,34518,20.8,.036,.274,9.0,18.9,13.9,10.3,1.1,2.6,8.0,25.9,112,106,70.4,41.1,111.4,.155,2.0,-0.3,1.7,32.4
13,Ben Simmons,2018,2020,PHI,NBA,34.4,214,214,7362,20.2,.009,.409,6.4,19.3,13.0,35.5,2.4,1.8,19.7,21.8,113,105,12.7,11.8,24.4,.159,1.9,2.1,4.0,11.2
14,Karl-Anthony Towns,2016,2020,MIN,NBA,34.4,358,358,12307,25.1,.223,.310,10.2,28.6,19.3,14.0,1.1,3.6,12.2,26.3,120,108,36.9,13.6,50.4,.197,4.8,0.0,4.8,21.2
15,Stephen Curry,2010,2020,GSW,NBA,34.3,699,693,23998,23.8,.481,.237,2.3,11.8,7.2,31.5,2.5,0.5,14.2,27.9,118,107,76.5,26.7,103.2,.207,6.0,0.4,6.4,50.7
