Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Steven Adams,C,OKC,7.7,13,7.7,13,0,0,3,5.4,6.3,7.5,13.9,2.1,1.6,1.8,2.6,4.4,18.5,0.593,0.595,0.1,0.593,0.555,0.599
Bam Adebayo,PF,MIA,7.7,13.8,7.7,13.5,0,0.3,4.7,6.7,4,10.8,14.8,5.5,1.6,1.7,3.3,4.5,20.2,0.558,0.568,0.114,0.559,0.711,0.603
LaMarcus Aldridge,C,SAS,12.3,24.8,11.8,23.2,0.6,1.7,5.8,6.9,4,9,13,3,0.9,1.9,2.3,3.2,31,0.496,0.508,0.338,0.507,0.839,0.556
Jarrett Allen,C,BRK,7.7,12.7,7.6,12.1,0.1,0.6,4.2,6.1,4.9,10.5,15.4,2.3,1,2.7,2.4,4.4,19.7,0.607,0.628,0.169,0.611,0.692,0.641
Al-Farouq Aminu,PF,ORL,5.5,13.6,3.3,7.1,2.2,6.5,2.5,3.4,2.5,9.7,12.2,2.4,1.8,1.2,2.1,3.5,15.8,0.407,0.465,0.343,0.489,0.756,0.525
Giannis Antetokounmpo,PF,MIL,11.9,22.4,11,19.3,0.9,3.1,7.8,10.7,2.6,11.4,14,6.9,1.8,2,4.3,4.6,32.4,0.532,0.573,0.277,0.551,0.726,0.599
Carmelo Anthony,PF,POR,10.7,25.1,8.1,17.6,2.7,7.5,5.1,6.2,1.7,7.9,9.6,3.8,1.2,0.8,2.8,3.8,29.2,0.427,0.459,0.353,0.48,0.815,0.524
Trevor Ariza,SF,TOT,5.8,14.2,2.6,5.2,3.2,9,2,2.5,1,6.2,7.3,3.4,2.4,0.4,1.8,2.9,16.8,0.41,0.505,0.355,0.522,0.804,0.551
Deandre Ayton,C,PHO,11.4,20,11.4,19.9,0,0.1,3,4,5.2,11.1,16.3,2.7,1.2,1.8,3,4.6,25.9,0.572,0.575,0,0.572,0.753,0.595
Marvin Bagley III,PF,SAC,10.7,21.5,9.9,18.6,0.8,2.9,5.1,7.2,4.7,9.3,14,1.8,1,1.8,2.9,4,27.3,0.497,0.53,0.288,0.517,0.703,0.553
Lonzo Ball,PG,NOP,6,15.4,3.2,7.1,2.8,8.3,0.8,1.7,1.7,7.2,9,9.6,2.2,0.9,3.8,3.2,15.8,0.393,0.45,0.343,0.485,0.484,0.488
Harrison Barnes,PF,SAC,8.5,18.7,6.3,13,2.1,5.7,3.9,4.7,1.6,6.2,7.8,2.6,1,0.3,1.8,2.4,23,0.454,0.486,0.379,0.511,0.811,0.553
