Player,FG,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Pos,Tm
LeBron James,13.3,11.3,2,7.9,1.6,8.4,10,2.2,1,4.7,2.5,36.6,0.504,0.549,0.344,0.542,0.735,0.586,PG,LAL
Damian Lillard,10.9,7,3.9,7.3,0.9,4.9,8.9,1.3,0.4,3.8,2.8,33.1,0.436,0.484,0.371,0.515,0.889,0.578,PG,POR
Andrew Wiggins,10.1,8.4,1.6,5.5,1.7,4.3,3.3,1.4,0.8,2.9,3,27.3,0.441,0.471,0.332,0.477,0.732,0.522,SF-SG,TOT
Carmelo Anthony,12,10.2,1.8,7.7,2.4,6.9,4.1,1.4,0.7,3.7,4.1,33.6,0.448,0.472,0.348,0.482,0.812,0.541,PF,POR
Chris Paul,9.6,7.6,2,6.2,1,5.7,14.1,3.3,0.2,3.6,3.6,27.5,0.47,0.507,0.37,0.52,0.87,0.582,PG,OKC
Blake Griffin,11.8,10.9,1,7,3.2,9.8,6.4,1.3,0.8,3.8,4.2,31.6,0.498,0.521,0.333,0.518,0.694,0.561,PF,DET
Bradley Beal,10.9,7.7,3.3,4.9,1.2,4.5,5.7,1.6,0.6,3.3,3.1,30,0.452,0.492,0.38,0.52,0.807,0.559,SG,WAS
Russell Westbrook,11.9,10.3,1.6,8.2,2.4,7.8,12,2.5,0.4,5.9,3.7,33.6,0.437,0.469,0.304,0.467,0.8,0.53,PG,HOU
Anthony Davis,12.9,12.2,0.7,8.2,3.7,11.3,3.2,2,3.5,2.8,3.4,34.6,0.517,0.535,0.319,0.53,0.801,0.588,PF,LAL
LaMarcus Aldridge,12,11.7,0.3,5.4,4.1,8.6,3,1.1,1.7,2.4,3.7,29.6,0.491,0.498,0.312,0.497,0.811,0.543,C,SAS
Ben Simmons,9.4,9.4,0,4.1,2.8,8.8,11.1,2.4,1.1,4.8,3.9,22.9,0.561,0.565,0.087,0.562,0.594,0.579,PG,PHI
Karl-Anthony Towns,12.3,10.3,2,5.9,4.5,12.4,4,1.1,2.1,3.6,4.7,32.6,0.534,0.573,0.396,0.578,0.831,0.622,C,MIN
Stephen Curry,11.6,6.5,5.1,5.2,1,5.5,9.4,2.5,0.3,4.5,3.5,33.5,0.476,0.515,0.435,0.581,0.906,0.623,PG,GSW
James Harden,10.7,6.6,4,10.9,1.1,6.5,9.1,2.3,0.8,5.3,3.8,36.2,0.442,0.509,0.363,0.525,0.858,0.61,SG,HOU
DeMar DeRozan,10.8,10.1,0.6,7.8,1.1,5.4,5.3,1.5,0.4,3.1,3.4,30,0.457,0.475,0.283,0.47,0.829,0.541,SF,SAS
Kemba Walker,10.3,7,3.3,5.9,0.9,4.9,8.1,1.9,0.6,3.2,2.2,29.7,0.418,0.453,0.36,0.485,0.838,0.538,PG,BOS
Kyrie Irving,12.4,9.2,3.2,5.8,1.2,4.4,8.6,2,0.5,4,3.3,33.7,0.466,0.499,0.39,0.526,0.877,0.572,PG,BRK
Donovan Mitchell,12,8.5,3.5,5.3,1,4.8,5.8,1.9,0.5,4,3.8,32.8,0.44,0.489,0.355,0.504,0.821,0.545,SG,UTA
Dwight Howard,9.3,9.3,0,7.1,5.3,13.5,2.2,1.4,2.9,4.3,4.9,25.6,0.586,0.589,0.132,0.586,0.565,0.601,C,LAL
Devin Booker,11,8.2,2.8,7.1,0.7,4.4,6.7,1.1,0.4,4.7,4.4,31.9,0.447,0.49,0.355,0.504,0.868,0.566,SG,PHO
Paul George,10.1,6.5,3.6,6,1.4,8.2,5,2.6,0.7,3.9,4,29.8,0.433,0.47,0.38,0.511,0.846,0.564,SF,LAC
Jrue Holiday,9.5,7.5,2,3.1,1.3,4.6,9.7,2.3,0.8,4.1,3.5,24,0.452,0.488,0.355,0.499,0.777,0.529,SG,NOP
Marc Gasol,8.5,7.8,0.7,5.2,2.6,9.4,5.4,1.4,2.2,3.2,4.5,23,0.482,0.497,0.356,0.501,0.777,0.556,C,TOR
Rudy Gay,10,8.4,1.6,4.8,2.1,6.9,3.4,1.9,1.2,3.4,3.7,26.3,0.456,0.484,0.345,0.491,0.798,0.536,PF,SAS
Andre Iguodala,6.7,5.3,1.4,3.8,1.4,6.3,6.6,2.3,0.8,2.9,2.8,18.5,0.466,0.519,0.334,0.514,0.709,0.555,SG,MIA
Jimmy Butler,8.5,7.1,1.3,7.8,2.3,5.5,5.7,2.4,0.7,2.3,2.2,26.1,0.454,0.487,0.333,0.49,0.835,0.572,SF,MIA
Victor Oladipo,9.7,7.4,2.3,4.6,0.9,6,6,2.5,0.7,3.9,3.6,26.4,0.441,0.481,0.35,0.494,0.793,0.537,SG,IND
Eric Gordon,8.7,5.1,3.6,4.6,0.6,3.2,4.4,1.4,0.5,3,3.1,25.6,0.425,0.475,0.37,0.513,0.811,0.558,SG,HOU
Trae Young,10.7,7.1,3.6,8.3,1,4.6,12.2,1.4,0.2,6,2.4,33.4,0.428,0.488,0.344,0.5,0.847,0.567,PG,ATL
Luka Dončić,12,8.2,3.8,8.4,1.8,10.7,10.6,1.6,0.4,5.6,3.2,36.2,0.443,0.537,0.322,0.514,0.733,0.564,PG,DAL
Al Horford,9.2,8.4,0.8,2.6,3.3,9.7,5.2,1.3,1.9,2.5,3.6,21.9,0.52,0.544,0.361,0.543,0.754,0.569,C,PHI
Derrick Rose,11.5,10.3,1.2,5.2,1.3,4,8.8,1.2,0.5,4.2,2,29.5,0.456,0.485,0.304,0.481,0.827,0.526,PG,DET
