Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,James Harden,hardeja01,2015,2020,HOU,NBA,36.7,455,455,16712,12.0,27.3,7.3,14.2,4.7,13.1,12.2,14.1,1.2,7.3,8.5,10.9,2.3,0.9,6.2,3.7,40.9,.441,.514,.361,.527,.862,.611
2,Jimmy Butler,butleji01,2015,2020,TOT,NBA,36.3,386,385,13996,9.4,20.5,8.0,16.3,1.4,4.1,8.7,10.3,2.2,5.7,7.9,6.5,2.5,0.7,2.5,2.2,28.9,.460,.490,.341,.494,.846,.579
3,LeBron James,jamesle01,2015,2020,TOT,NBA,36.2,416,416,15053,13.5,26.0,11.1,19.1,2.4,6.8,6.6,9.3,1.6,9.2,10.7,11.5,1.9,0.9,5.3,2.5,35.9,.519,.580,.349,.565,.703,.597
4,Damian Lillard,lillada01,2015,2020,POR,NBA,36.0,443,443,15943,11.5,26.2,7.4,15.0,4.1,11.2,8.1,9.0,0.9,5.3,6.2,9.1,1.4,0.5,3.9,2.6,35.1,.439,.492,.369,.518,.896,.584
5,Andrew Wiggins,wiggian01,2015,2020,TOT,NBA,35.8,454,454,16242,10.1,22.9,8.4,17.9,1.6,5.0,5.5,7.5,1.7,4.3,6.0,3.3,1.4,0.8,2.9,3.0,27.3,.441,.471,.332,.477,.732,.522
6,John Wall,walljo01,2015,2019,WAS,NBA,35.7,307,307,10971,10.2,23.3,8.5,18.1,1.7,5.2,5.8,7.4,0.8,5.2,6.0,13.9,2.5,1.0,5.5,2.9,27.9,.438,.468,.331,.475,.773,.524
7,Anthony Davis,davisan02,2015,2020,TOT,NBA,35.4,390,390,13793,13.4,26.0,12.6,23.3,0.9,2.7,8.6,10.7,3.4,11.6,15.0,3.5,2.0,3.4,2.9,3.1,36.4,.516,.538,.323,.533,.807,.592
8,Russell Westbrook,westbru01,2015,2020,TOT,NBA,35.3,434,434,15303,12.9,29.3,10.8,22.5,2.1,6.8,8.6,10.9,2.4,10.3,12.8,13.4,2.6,0.4,6.4,3.8,36.5,.441,.482,.304,.476,.788,.535
9,Kyle Lowry,lowryky01,2015,2020,TOR,NBA,35.2,402,402,14133,8.4,19.7,4.6,9.5,3.8,10.2,5.6,6.8,1.0,5.9,7.0,10.2,2.1,0.5,3.9,4.0,26.3,.427,.482,.376,.524,.828,.579
10,Bradley Beal,bealbr01,2015,2020,WAS,NBA,35.0,416,392,14557,11.4,24.7,8.0,15.7,3.4,9.0,5.3,6.6,1.2,4.5,5.6,6.0,1.7,0.6,3.4,3.1,31.5,.461,.510,.376,.530,.810,.571
